"compound_name","matched_name","final_result","CID","IUPACName","MolecularFormula","MolecularWeight","KEGG_ID","HMDB_ID","CHEBI_ID","Similarity","mzcloud_Endogenous_info"
"Val-Ile","Val-Ile",TRUE,7010532,"(2S,3S)-2-[[(2S)-2-amino-3-methylbutanoyl]amino]-3-methylpentanoic acid","C11H22N2O3",230.3,"Not_Access","HMDB0029130","75012",1,NA
"Leu-Val","Leu-Val",TRUE,6993116,"(2S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-3-methylbutanoic acid","C11H22N2O3",230.3,"Not_Access","Not_Access","73579",1,NA
"prolyl-isoleucine","prolyl-isoleucine",TRUE,7079601,"(2S,3S)-3-methyl-2-[[(2S)-pyrrolidine-2-carbonyl]amino]pentanoic acid","C11H20N2O3",228.29,"Not_Access","HMDB0304810","74790",1,NA
"prolyl-leucine","prolyl-leucine",TRUE,444109,"(2S)-4-methyl-2-[[(2S)-pyrrolidine-2-carbonyl]amino]pentanoic acid","C11H20N2O3",228.29,"Not_Access","Not_Access","74791",1,NA
"Isoleucylproline","Isoleucylproline",TRUE,444876,"(2S)-1-[(2S,3S)-2-amino-3-methylpentanoyl]pyrrolidine-2-carboxylic acid","C11H20N2O3",228.29,"Not_Access","HMDB0011174","74076",1,NA
"Lauramine oxide","Lauramine oxide",TRUE,15433,"N,N-dimethyldodecan-1-amine oxide","C14H31NO",229.4,"Not_Access","Not_Access","131762",1,NA
"Thr-Leu","Thr-Leu",TRUE,7021828,"(2S)-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]-4-methylpentanoic acid","C10H20N2O4",232.28,"Not_Access","HMDB0029065","74860",1,NA
"N-Formyltryptophan","N-Formyltryptophan",TRUE,152933,"(2S)-2-formamido-3-(1H-indol-3-yl)propanoic acid","C12H12N2O3",232.23,"Not_Access","Not_Access","Not_Access",1,NA
"Isobutyrylcarnitine (C4:0)","isobutyrylcarnitine",TRUE,168379,"(3R)-3-(2-methylpropanoyloxy)-4-(trimethylazaniumyl)butanoate","C11H21NO4",231.29,"Not_Access","HMDB0000736","84838",0.8444,NA
"Butyrylcarnitine (C4:0)","Butyrylcarnitine",TRUE,213144,"(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate","C11H21NO4",231.29,"Not_Access","HMDB0002013","21949",0.8205,NA
"N2-Succinyl-ornithine","N(2)-Succinylarginine",TRUE,3082154,"(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid;butanedioic acid","C10H20N4O6",292.29,"Not_Access","Not_Access","Not_Access",0.7619,NA
"Hydroxyprolyl-Threonine","Hydroxyprolyl-Threonine",TRUE,61158058,"3-hydroxy-2-[(4-hydroxypyrrolidine-2-carbonyl)amino]butanoic acid","C9H16N2O5",232.23,"Not_Access","HMDB0028873","178401",1,NA
"4-(gamma-Glutamylamino)butanoate","4-(L-gamma-glutamylamino)butanoate",TRUE,25245457,"(2S)-2-azaniumyl-5-(3-carboxylatopropylamino)-5-oxopentanoate","C9H15N2O5-",231.23,"Not_Access","Not_Access","58800",0.9697,NA
"Spermic acid 2","Spermic acid 2",TRUE,167029,"3-[4-(2-carboxyethylamino)butylamino]propanoic acid","C10H20N2O4",232.28,"Not_Access","HMDB0013075","179478",1,"Endogenous Metabolites"
"Alanylphenylalanine","Alanylphenylalanine",TRUE,96814,"(2S)-2-[[(2S)-2-aminopropanoyl]amino]-3-phenylpropanoic acid","C12H16N2O3",236.27,"Not_Access","HMDB0028694","73807",1,NA
"Phe-Ala","Phe-Ala",TRUE,5488196,"(2S)-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]propanoic acid","C12H16N2O3",236.27,"Not_Access","HMDB0028988","73630",1,NA
"Lidocaine (Drug)","Lidocaine hydrochloride",TRUE,6314,"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide;hydrochloride","C14H23ClN2O",270.8,"Not_Access","Not_Access","Not_Access",0.6154,NA
"Carboxy-ibuprofen","Carboxy-ibuprofen",TRUE,10444113,"3-[4-(1-carboxyethyl)phenyl]-2-methylpropanoic acid","C13H16O4",236.26,"Not_Access","HMDB0060564","133199",1,NA
"2-Methyl-4-phenyl-2-butyl 2-methylpropanoate","2-Methyl-4-phenyl-2-butyl 2-methylpropanoate",TRUE,61446,"(2-methyl-4-phenylbutan-2-yl) 2-methylpropanoate","C15H22O2",234.33,"Not_Access","HMDB0037640","196148",1,NA
"p-Hydroxynonanophenone","p-Hydroxynonanophenone",TRUE,167093,"1-(4-hydroxyphenyl)nonan-1-one","C15H22O2",234.33,"Not_Access","HMDB0037391","196147",1,NA
"3-Phenylpropyl hexanoate","3-Phenylpropyl hexanoate",TRUE,221417,"3-phenylpropyl hexanoate","C15H22O2",234.33,"Not_Access","HMDB0036390","196143",1,NA
"Octyl benzoate","Octyl benzoate",TRUE,66751,"octyl benzoate","C15H22O2",234.33,"Not_Access","HMDB0303722","156236",1,NA
"N-Lactoylphenylalanine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyrosylglycine","L-Tyrosylglycine",TRUE,7021854,"2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]acetic acid","C11H14N2O4",238.24,"Not_Access","HMDB0029105","74990",0.9333,NA
"glycyl-tyrosine","glycyl-tyrosine",TRUE,92829,"(2S)-2-[(2-aminoacetyl)amino]-3-(4-hydroxyphenyl)propanoic acid","C11H14N2O4",238.24,"Not_Access","HMDB0028853","73517",1,NA
"Pentaethylene glycol","Pentaethylene glycol",TRUE,62551,"2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethanol","C10H22O6",238.28,"Not_Access","HMDB0256256","39631",1,"Industrial Chemicals"
"2,3-Dihydroxypropyl 4-phenylbutanoate","2,3-Dihydroxypropyl 4-phenylbutanoate",TRUE,66677791,"2,3-dihydroxypropyl 4-phenylbutanoate","C13H18O4",238.28,"Not_Access","HMDB0257749","Not_Access",1,NA
"Geranyl acetoacetate","Geranyl acetoacetate",TRUE,5956805,"[(2E)-3,7-dimethylocta-2,6-dienyl] 3-oxobutanoate","C14H22O3",238.32,"Not_Access","Not_Access","85255",1,NA
"3,4-Dimethyl-5-pentyl-2-furanpropanoic acid","3,4-Dimethyl-5-pentyl-2-furanpropanoic acid",TRUE,23425504,"3-(3,4-dimethyl-5-pentylfuran-2-yl)propanoic acid","C14H22O3",238.32,"Not_Access","HMDB0112083","168605",1,NA
"Lumichrome","Lumichrome",TRUE,5326566,"7,8-dimethyl-1H-benzo[g]pteridine-2,4-dione","C12H10N4O2",242.23,"C01727","HMDB0254199","17781",1,NA
"(3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leu-Ile","Leu-Ile",TRUE,7010534,"(2S,3S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-3-methylpentanoic acid","C12H24N2O3",244.33,"Not_Access","Not_Access","74540",1,NA
"Leu-Leu","Leu-Leu",TRUE,76807,"(2S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-4-methylpentanoic acid","C12H24N2O3",244.33,"Not_Access","HMDB0028933","73531",1,NA
"Ile-Leu","Ile-Leu",TRUE,7019083,"(2S)-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-4-methylpentanoic acid","C12H24N2O3",244.33,"Not_Access","Not_Access","74072",1,NA
"9-hydroperoxytraumatin",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valyl-Gamma-glutamate","Valyl-Gamma-glutamate",TRUE,131750792,"2-amino-5-[(2-amino-3-methylbutanoyl)amino]-5-oxopentanoic acid","C10H19N3O4",245.28,"Not_Access","HMDB0029141","193353",1,NA
"isoleucyl-asparagine","isoleucyl-asparagine",TRUE,7016080,"(2S)-4-amino-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-4-oxobutanoic acid","C10H19N3O4",245.28,"Not_Access","Not_Access","74063",1,NA
"Valylglutamine","Valylglutamine",TRUE,7016045,"(2S)-5-amino-2-[[(2S)-2-amino-3-methylbutanoyl]amino]-5-oxopentanoic acid","C10H19N3O4",245.28,"Not_Access","HMDB0029125","75010",1,NA
"Cytidine","Cytidine",TRUE,6175,"4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","C9H13N3O5",243.22,"C00475","HMDB0000089","17562",1,"Endogenous Metabolites"
"aspartyl-leucine","aspartyl-leucine",TRUE,6992367,"(2S)-2-[[(2S)-2-amino-3-carboxypropanoyl]amino]-4-methylpentanoic acid","C10H18N2O5",246.26,"Not_Access","Not_Access","68596",1,NA
"gamma-glutamyl-valine","gamma-glutamyl-valine",TRUE,7015683,"(2S)-2-amino-5-[[(1S)-1-carboxy-2-methylpropyl]amino]-5-oxopentanoic acid","C10H18N2O5",246.26,"Not_Access","HMDB0011172","68848",1,NA
"Isoleucyl-Aspartate","Isoleucyl-Aspartate",TRUE,14304554,"2-[(2-amino-3-methylpentanoyl)amino]butanedioic acid","C10H18N2O5",246.26,"Not_Access","HMDB0028903","177273",1,NA
"Dibutyl malate","Dibutyl malate",TRUE,95385,"dibutyl 2-hydroxybutanedioate","C12H22O5",246.3,"Not_Access","HMDB0031696","174276",1,NA
"3-Hydroxydodecanedioic acid","3-Hydroxydodecanedioic acid",TRUE,16663321,"3-hydroxydodecanedioic acid","C12H22O5",246.3,"Not_Access","HMDB0000413","145961",1,NA
"Valerylcarnitine (C5:0)","Valerylcarnitine",TRUE,16226475,"(3R)-3-pentanoyloxy-4-(trimethylazaniumyl)butanoate","C12H23NO4",245.32,"Not_Access","HMDB0013128","85095",0.8205,NA
"Isovalerylcarnitine (C5:0)","Isovalerylcarnitine",TRUE,6426851,"3-(3-methylbutanoyloxy)-4-(trimethylazaniumyl)butanoate","C12H23NO4",245.32,"Not_Access","HMDB0000688","73025",0.8444,NA
"Arg-Ala","Arg-Ala",TRUE,7020333,"(2S)-2-[[(2S)-2-amino-5-(diaminomethylideneamino)pentanoyl]amino]propanoic acid","C9H19N5O3",245.28,"Not_Access","HMDB0028702","73810",1,NA
"Glutamylvaline","Glutamylvaline",TRUE,6992567,"(4S)-4-amino-5-[[(1S)-1-carboxy-2-methylpropyl]amino]-5-oxopentanoic acid","C10H18N2O5",246.26,"Not_Access","HMDB0028832","68846",1,NA
"valyl-glutamate","valyl-glutamate",TRUE,7009623,"(2S)-2-[[(2S)-2-amino-3-methylbutanoyl]amino]pentanedioic acid","C10H18N2O5",246.26,"Not_Access","HMDB0029126","75011",1,NA
"Hypaphorine","Hypaphorine",TRUE,442106,"(2S)-3-(1H-indol-3-yl)-2-(trimethylazaniumyl)propanoate","C14H18N2O2",246.3,"C09213","HMDB0061115","5832",1,NA
"3-Hydroxybutyrylcarnitine (C4:0,O)",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,4-Dodecadienoic acid pyrrolidide","2,4-Dodecadienoic acid pyrrolidide",TRUE,10999431,"(2E,4E)-1-pyrrolidin-1-yldodeca-2,4-dien-1-one","C16H27NO",249.39,"Not_Access","HMDB0038841","70093",1,NA
"2',3'-Didehydro-2',3'-dideoxyguanosine","2',3'-Didehydro-2',3'-dideoxyguanosine",TRUE,135474223,"2-amino-9-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-1H-purin-6-one","C10H11N5O3",249.23,"Not_Access","Not_Access","Not_Access",1,NA
"Tyrosylalanine","Tyrosylalanine",TRUE,5496455,"(2S)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]propanoic acid","C12H16N2O4",252.27,"Not_Access","Not_Access","74879",1,"Endogenous Metabolites"
"Trolox","Trolox",TRUE,40634,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid","C14H18O4",250.29,"Not_Access","HMDB0038804","82625",1,"Therapeutics/Prescription Drugs"
"Ethylhexyl salicylate","Ethylhexyl salicylate",TRUE,8364,"2-ethylhexyl 2-hydroxybenzoate","C15H22O3",250.33,"Not_Access","HMDB0061839","88639",1,NA
"2-Ethylhexyl-4-hydroxybenzoate","2-Ethylhexyl-4-hydroxybenzoate",TRUE,107377,"2-ethylhexyl 4-hydroxybenzoate","C15H22O3",250.33,"C14716","Not_Access","34274",1,NA
"2-methylpropyl 2-benzyl-3-hydroxybutanoate","2-methylpropyl 2-benzyl-3-hydroxybutanoate",TRUE,154586173,"2-methylpropyl 2-benzyl-3-hydroxybutanoate","C15H22O3",250.33,"Not_Access","Not_Access","Not_Access",1,NA
"Methyl farnesoate","Methyl farnesoate",TRUE,5275508,"methyl (2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienoate","C16H26O2",250.38,"C16503","HMDB0243578","80535",1,NA
"[2,2-Bis(2-methylpropoxy)ethyl]benzene","[2,2-Bis(2-methylpropoxy)ethyl]benzene",TRUE,71544,"2,2-bis(2-methylpropoxy)ethylbenzene","C16H26O2",250.38,"Not_Access","HMDB0037712","174311",1,NA
"hexadeca-7,10,13-trienoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4,7,10,13-Hexadecatetraenoic acid","4,7,10,13-Hexadecatetraenoic acid",TRUE,5282831,"(4E,7E,10E,13E)-hexadeca-4,7,10,13-tetraenoic acid","C16H24O2",248.36,"Not_Access","HMDB0253125","230252",1,NA
"Hexadecatrienoic acid","Hexadecatrienoic acid",TRUE,6506600,"(2E,4E,6E)-hexadeca-2,4,6-trienoic acid","C16H26O2",250.38,"Not_Access","HMDB0302991","Not_Access",1,"Endogenous Metabolites"
"Hexadecadienoic acid","Hexadecadienoic acid",TRUE,5312421,"(2E,4E)-hexadeca-2,4-dienoic acid","C16H28O2",252.39,"Not_Access","HMDB0302694","196093",1,NA
"Linalyl hexanoate","Linalyl hexanoate",TRUE,564550,"3,7-dimethylocta-1,6-dien-3-yl hexanoate","C16H28O2",252.39,"Not_Access","HMDB0030429","196060",1,NA
"Alanyltyrosine","Alanyltyrosine",TRUE,92946,"(2S)-2-[[(2S)-2-aminopropanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid","C12H16N2O4",252.27,"Not_Access","HMDB0028699","73395",1,"Endogenous Metabolites"
"Grandinol","Grandinol",TRUE,11043217,"2,4,6-trihydroxy-3-methyl-5-(3-methylbutanoyl)benzaldehyde","C13H16O5",252.26,"C20207","Not_Access","182757",1,NA
"Palmitamide","Palmitamide",TRUE,69421,"hexadecanamide","C16H33NO",255.44,"Not_Access","HMDB0012273","74475",1,"Endogenous Metabolites"
"Leucyl-Gamma-glutamate","Leucyl-Gamma-glutamate",TRUE,131750774,"2-amino-5-[(2-amino-4-methylpentanoyl)amino]-5-oxopentanoic acid","C11H21N3O4",259.3,"Not_Access","HMDB0028943","178674",1,NA
"Isoleucyl-Gamma-glutamate","Isoleucyl-Gamma-glutamate",TRUE,131750772,"2-amino-5-[(2-amino-3-methylpentanoyl)amino]-5-oxopentanoic acid","C11H21N3O4",259.3,"Not_Access","HMDB0028921","178676",1,NA
"Glutaminylleucine","Glutaminylleucine",TRUE,44232492,"(2S)-2-[[(2S)-2,5-diamino-5-oxopentanoyl]amino]-4-methylpentanoic acid","C11H21N3O4",259.3,"Not_Access","HMDB0028801","141429",1,NA
"Acylcarnitine C6:1",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycerophosphocholine","Glycerophosphocholine",TRUE,657272,"[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","C8H20NO6P",257.22,"Not_Access","HMDB0000086","16870",1,NA
"gamma-Glutamylleucine","gamma-Glutamylleucine",TRUE,151023,"(2S)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-4-methylpentanoic acid","C11H20N2O5",260.29,"Not_Access","HMDB0011171","68433",1,NA
"leucyl-glutamate","leucyl-glutamate",TRUE,5259590,"2-[(2-amino-4-methylpentanoyl)amino]pentanedioic acid","C11H20N2O5",260.29,"Not_Access","HMDB0028928","Not_Access",1,NA
"gamma-glutamyl-isoleucine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glutamylleucine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydroxyprolyl-Lysine","Hydroxyprolyl-Lysine",TRUE,131750767,"6-amino-2-[(4-hydroxypyrrolidine-2-carbonyl)amino]hexanoic acid","C11H21N3O4",259.3,"Not_Access","HMDB0028868","173197",1,NA
"isoleucyl-glutamine","isoleucyl-glutamine",TRUE,7020102,"(2S)-5-amino-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-5-oxopentanoic acid","C11H21N3O4",259.3,"Not_Access","Not_Access","74065",1,NA
"Trp-Gly","Trp-Gly",TRUE,97054,"2-[[(2S)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]acetic acid","C13H15N3O3",261.28,"Not_Access","Not_Access","74870",1,NA
"Hexanoylcarnitine (C6:0)","Hexanoylcarnitine",TRUE,6426853,"3-hexanoyloxy-4-(trimethylazaniumyl)butanoate","C13H25NO4",259.34,"Not_Access","Not_Access","70749",0.8293,"Endogenous Metabolites"
"gamma-glutamyl-leucine","gamma-glutamyl-leucine",TRUE,151023,"(2S)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-4-methylpentanoic acid","C11H20N2O5",260.29,"Not_Access","HMDB0011171","68433",1,NA
"Homobaldrinal","Homobaldrinal",TRUE,49999,"(7-formylcyclopenta[c]pyran-4-yl)methyl 3-methylbutanoate","C15H16O4",260.28,"C16812","Not_Access","80747",1,NA
"3-Hydroxyisovalerylcarnitine","3-Hydroxyisovalerylcarnitine",TRUE,71464474,"3-(3-hydroxy-3-methylbutanoyl)oxy-4-(trimethylazaniumyl)butanoate","C12H23NO5",261.31,"Not_Access","Not_Access","73027",1,NA
"4-Dodecylphenol","4-Dodecylphenol",TRUE,66030,"4-dodecylphenol","C18H30O",262.4,"C14245","Not_Access","34402",1,NA
"Prolylphenylalanine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phenylalanylproline","Phenylalanylproline",TRUE,162656,"(2S)-1-[(2R)-2-amino-3-phenylpropanoyl]pyrrolidine-2-carboxylic acid","C14H18N2O3",262.3,"Not_Access","Not_Access","Not_Access",1,NA
"Isoleucyl-Methionine","Isoleucyl-Methionine",TRUE,7020106,"(2S)-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-4-methylsulfanylbutanoic acid","C11H22N2O3S",262.37,"Not_Access","Not_Access","74073",1,NA
"Phe-Val","Phe-Val",TRUE,7359122,"(2S)-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]-3-methylbutanoic acid","C14H20N2O3",264.32,"Not_Access","HMDB0029008","73638",1,NA
"Phenylacetylglutamine","Phenylacetylglutamine",TRUE,92258,"(2S)-5-amino-5-oxo-2-[(2-phenylacetyl)amino]pentanoic acid","C13H16N2O4",264.28,"C04148","HMDB0006344","17884",1,"Endogenous Metabolites"
"Norlinolenic acid","Norlinolenic acid",TRUE,16061034,"(8Z,11Z,14Z)-heptadeca-8,11,14-trienoic acid","C17H28O2",264.4,"C16344","Not_Access","76235",1,NA
"2-(Nonylphenoxy)ethanol","2-(Nonylphenoxy)ethanol",TRUE,171092,"2-(2-nonylphenoxy)ethanol","C17H28O2",264.4,"Not_Access","HMDB0244950","Not_Access",1,NA
"Nerolidyl acetate","Nerolidyl acetate",TRUE,5363426,"[(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-yl] acetate","C17H28O2",264.4,"Not_Access","HMDB0039630","173885",1,NA
"S-(5-hydroxypentan-3-yl)-cysteinylglycine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-(4-hydroxy-3-methylbutan-2-yl)-cysteinylglycine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thr-Phe","Thr-Phe",TRUE,7010580,"(2S)-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]-3-phenylpropanoic acid","C13H18N2O4",266.29,"Not_Access","HMDB0029068","74862",1,NA
"Valylphenylalanine","Valylphenylalanine",TRUE,6993120,"(2S)-2-[[(2S)-2-amino-3-methylbutanoyl]amino]-3-phenylpropanoic acid","C14H20N2O3",264.32,"Not_Access","HMDB0029134","75016",1,NA
"farnesyl acetate","Farnesyl acetate",TRUE,638500,"[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl] acetate","C17H28O2",264.4,"Not_Access","HMDB0240268","186251",1,NA
"ExMrn00024446",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ExMrn00024445",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenosine","Adenosine",TRUE,60961,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","C10H13N5O4",267.24,"C00212","HMDB0000050","16335",1,"Endogenous Metabolites"
"Tyrosyl-Serine","Tyrosyl-Serine",TRUE,18218253,"2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxypropanoic acid","C12H16N2O5",268.27,"Not_Access","HMDB0029114","173909",1,NA
"Inosine","Inosine",TRUE,135398641,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","C10H12N4O5",268.23,"C00294","HMDB0000195","17596",1,NA
"[2-Amino-3-(1H-imidazol-5-yl)propanoyl] 2-amino-3-methylpentanoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17beta-Dihydroequilin","17beta-Dihydroequilin",TRUE,11954027,"(9S,13S,14S,17S)-13-methyl-6,9,11,12,14,15,16,17-octahydrocyclopenta[a]phenanthrene-3,17-diol","C18H22O2",270.4,"C14485","Not_Access","62851",1,NA
"Estrone","Estrone",TRUE,5870,"(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one","C18H22O2",270.4,"C00468","HMDB0000145","17263",1,"Endogenous Metabolites"
"4,4'-Dihydroxy-2,2',3,3',5,5'-hexamethylbiphenyl","4,4'-Dihydroxy-2,2',3,3',5,5'-hexamethylbiphenyl",TRUE,688288,"4-(4-hydroxy-2,3,5-trimethylphenyl)-2,3,6-trimethylphenol","C18H22O2",270.4,"Not_Access","Not_Access","Not_Access",1,NA
"3-carboxy-4-methyl-5-pentyl-2-furanpropanoic acid","3-carboxy-4-methyl-5-pentyl-2-furanpropanoic acid",TRUE,194501,"2-(2-carboxyethyl)-4-methyl-5-pentylfuran-3-carboxylic acid","C14H20O5",268.3,"Not_Access","HMDB0061643","165398",1,NA
"16-Oxopalmitate","16-Oxopalmitate",TRUE,15931626,"16-oxohexadecanoic acid","C16H30O3",270.41,"C19614","Not_Access","134195",1,NA
"2-hexyl-3-oxodecanoate",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-Hydroxypalmitic acid","16-Hydroxypalmitic acid",TRUE,10466,"16-hydroxyhexadecanoic acid","C16H32O3",272.42,"C18218","HMDB0006294","55328",1,"Endogenous Metabolites"
"2-Hydroxypalmitic acid","2-Hydroxypalmitic acid",TRUE,92836,"2-hydroxyhexadecanoic acid","C16H32O3",272.42,"Not_Access","Not_Access","65101",1,"Endogenous Metabolites"
"delta9(11)-Estradiol","delta9(11)-Estradiol",TRUE,9816888,"(8S,13S,14S,17S)-13-methyl-6,7,8,12,14,15,16,17-octahydrocyclopenta[a]phenanthrene-3,17-diol","C18H22O2",270.4,"Not_Access","Not_Access","Not_Access",1,NA
"17alpha-Dihydroequilin","17alpha-Dihydroequilin",TRUE,9547222,"(9S,13S,14S,17R)-13-methyl-6,9,11,12,14,15,16,17-octahydrocyclopenta[a]phenanthrene-3,17-diol","C18H22O2",270.4,"Not_Access","Not_Access","186959",1,NA
"1-Phenyl-1,3-dodecanedione","1-Phenyl-1,3-dodecanedione",TRUE,10039032,"1-phenyldodecane-1,3-dione","C18H26O2",274.4,"Not_Access","HMDB0035579","Not_Access",1,NA
"10,14,16-Octadecatrien-12-ynoic acid",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dicranin","Dicranin",TRUE,44584408,"(9Z,12Z,15Z)-octadeca-9,12,15-trien-6-ynoic acid","C18H26O2",274.4,"Not_Access","Not_Access","65768",1,NA
"S-(1-hydroxyhexan-3-yl)-cysteinylglycine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-(4-hydroxy-2-methylpentan-2-yl)-cysteinylglycine",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glu-Glu","Glu-Glu",TRUE,439500,"(2S)-2-[[(2S)-2-amino-4-carboxybutanoyl]amino]pentanedioic acid","C10H16N2O7",276.24,"C01425","HMDB0028818","5390",1,NA
"17beta-hydroxy-5beta-estran-3-one","17beta-hydroxy-5beta-estran-3-one",TRUE,21634212,"(5R,8R,9R,10S,13S,14S,17S)-17-hydroxy-13-methyl-2,4,5,6,7,8,9,10,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-one","C18H28O2",276.4,"Not_Access","HMDB0062677","87333",1,NA
"Bolandiol","Bolandiol",TRUE,9835303,"(3S,8R,9S,10R,13S,14S,17S)-13-methyl-1,2,3,6,7,8,9,10,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthrene-3,17-diol","C18H28O2",276.4,"Not_Access","Not_Access","145661",1,NA
"19-Norandrosterone","19-Norandrosterone",TRUE,9548753,"(3R,5S,8R,9R,10S,13S,14S)-3-hydroxy-13-methyl-2,3,4,5,6,7,8,9,10,11,12,14,15,16-tetradecahydro-1H-cyclopenta[a]phenanthren-17-one","C18H28O2",276.4,"Not_Access","HMDB0002697","36412",1,NA
"19-Nor-5-androstenediol","19-Nor-5-androstenediol",TRUE,9900246,"(3S,8R,9S,10R,13S,14S,17S)-13-methyl-1,2,3,4,7,8,9,10,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthrene-3,17-diol","C18H28O2",276.4,"Not_Access","HMDB0004590","Not_Access",1,NA
"[6]-Shogaol","[6]-Shogaol",TRUE,5281794,"(E)-1-(4-hydroxy-3-methoxyphenyl)dec-4-en-3-one","C17H24O3",276.4,"C10494","HMDB0031463","10138",1,NA
"gamma-Linolenic acid","gamma-Linolenic acid",TRUE,5280933,"(6Z,9Z,12Z)-octadeca-6,9,12-trienoic acid","C18H30O2",278.4,"C06426","HMDB0003073","28661",1,NA
"Phenylalanylaspartic acid","Phenylalanylaspartic acid",TRUE,6992643,"(2S)-2-[[(2S)-2-amino-3-phenylpropanoyl]amino]butanedioic acid","C13H16N2O5",280.28,"Not_Access","HMDB0028991","73631",1,NA
"beta-aspartyl-phenylalanine","beta-aspartyl-phenylalanine",TRUE,7020415,"(2S)-2-amino-4-[[(1S)-1-carboxy-2-phenylethyl]amino]-4-oxobutanoic acid","C13H16N2O5",280.28,"Not_Access","Not_Access","Not_Access",1,NA
"Tyrosyl-Proline","Tyrosyl-Proline",TRUE,13055260,"1-[2-amino-3-(4-hydroxyphenyl)propanoyl]pyrrolidine-2-carboxylic acid","C14H18N2O4",278.3,"Not_Access","HMDB0029113","179595",1,NA
"Phenylalanylhydroxyproline","Phenylalanylhydroxyproline",TRUE,25227056,"(2S,4R)-1-[(2S)-2-amino-3-phenylpropanoyl]-4-hydroxypyrrolidine-2-carboxylic acid","C14H18N2O4",278.3,"Not_Access","HMDB0011176","188966",1,NA
